院内採用状況	製品名（■/◇：一般用薬/要指導医薬品）	製品名（英名）	製造販売会社	発売・販売会社	剤形	規格単位	薬価	規制区分	薬効	薬効分類	一般名	一般名（英名）	YJコード	HOTコード	製品備考	識別コード	色	割線の有無	添加物
	25mgプロトゲン錠	Protogen	田辺三菱製薬		錠：内服			処	皮膚疾患，ハンセン病治療剤	623	ジアフェニルスルホン	diaphenylsulfone（JAN）(dapsone（INN）)	623100AF1025						乳糖水和物，トウモロコシデンプン，タルク，ステアリン酸マグネシウム
	DTビック		阪大微生物病研究会	田辺三菱製薬	注射液：注射			局生劇処	生物学的製剤	636	沈降ジフテリア破傷風混合トキソイド	adsorbed diphtheria-tetanus combined toxoid（JP）	636140AA5020						リン酸水素ナトリウム水和物，リン酸二水素ナトリウム，塩化ナトリウム，塩酸，水酸化ナトリウム，塩化アルミニウム（III）六水和物（アルミニウム），ホルマリン（ホルムアルデヒド），緩衝剤，等張化剤，pH調節剤，免疫補助剤，安定剤
	L－キサール顆粒500	L－Xahl	東和薬品	ジェイドルフ製薬	複粒：内服	500mg1g	79.40円／g	処	セファロスポリン系抗生物質	613	セファレキシン	cefalexin（JP）	6132002E2022	110824802，110824803，110824804，110824805					黄色5号，香料，サッカリンNa水和物，精製白糖，タルク，乳糖水和物，ヒドロキシプロピルセルロース，プロピレングリコール，マクロゴール6000，メタクリル酸，メタクリル酸コポリマーL，ラウリル硫酸Na
	L－ケフラール顆粒	L－Kefral	塩野義製薬		複粒：内服	375mg1包	103.50円／包	局処	セフェム系抗生物質	613	セファクロル	cefaclor（JP）	6132005E1020	110885901					D-マンニトール，トウモロコシデンプン，低置換度ヒドロキシプロピルセルロース，メチルセルロース，β-カロテン，流動パラフィン，アラビアゴム，プロピレングリコール，リン酸，アスコルビン酸，ヒドロキシプロピルメチルセルロースアセテートサクシネート，タルク，クエン酸トリエチル，ソルビタンセスキオレイン酸エステル，含水二酸化ケイ素
	L－ケフレックス顆粒	L－Keflex	塩野義製薬		複粒：内服	500mg1g	79.40円／g	処	セファロスポリン系抗生物質	613	セファレキシン	cefalexin（JP）	6132002E2030	110825501					白糖，トウモロコシデンプン，低置換度ヒドロキシプロピルセルロース，ヒドロキシプロピルセルロース，D-マンニトール，メチルセルロース，タルク，ヒドロキシプロピルメチルセルロースアセテートサクシネート，クエン酸トリエチル，サラシミツロウ，含水二酸化ケイ素，黄色5号
	L－ケフレックス小児用顆粒	L－Keflex	塩野義製薬		複粒：内服	200mg1g	70.10円／g	処	セファロスポリン系抗生物質	613	セファレキシン	cefalexin（JP）	6132002E1034	110822401					白糖，トウモロコシデンプン，低置換度ヒドロキシプロピルセルロース，D-マンニトール，メチルセルロース，タルク，ヒドロキシプロピルメチルセルロースアセテートサクシネート，クエン酸トリエチル，サラシミツロウ，含水二酸化ケイ素，香料，黄色5号
	PPSB－HT静注用200単位「ニチヤク」	PPSB－HT「NICHIYAKU」	日本製薬	武田薬品工業	静注用：注射	200単位1瓶（溶解液付）	13,977.00円／瓶	生特処	血友病治療用血漿分画剤	634	乾燥人血液凝固第IX因子	freeze-dried human blood-coagulation factor IX	6343409X5030	111543701	薬価収載2009.09.01				ヘパリンナトリウム，クエン酸ナトリウム水和物，塩化ナトリウム
	PPSB－HT静注用500単位「ニチヤク」	PPSB－HT「NICHIYAKU」	日本製薬	武田薬品工業	静注用：注射	500単位1瓶（溶解液付）	31,822.00円／瓶	生特処	血友病治療用血漿分画剤	634	乾燥人血液凝固第IX因子	freeze-dried human blood-coagulation factor IX	6343409X7059	111545101	薬価収載2009.09.01				ヘパリンナトリウム，クエン酸ナトリウム水和物，塩化ナトリウム
	アイセントレス錠400mg	Isentress	MSD		錠：内服	400mg1錠	1,553.60円／錠	劇処	HIVインテグラーゼ阻害剤	625	ラルテグラビルカリウム	raltegravir potassium（JAN）	6250032F1026	118317701	薬価収載2008.06.27	〓227 〓227	薄赤		結晶セルロース，乳糖水和物，無水リン酸水素カルシウム，ヒプロメロース，ポリオキシエチレン（196）ポリオキシプロピレン（67）グリコール，フマル酸ステアリルナトリウム，ステアリン酸マグネシウム，ポリビニルアルコール（部分けん化物），マクロゴール4000，タルク，酸化チタン，三二酸化鉄，黒酸化鉄
	アクチオス点滴静注用250mg	Actios	テバ製薬		静注用：注射	250mg1瓶	600.00円／瓶	後局処	抗ウイルス剤	625	アシクロビル	aciclovir（JP）	6250401F1171	113844312	薬価収載2006.12.08				pH調節剤
